streams_range,avg_bpm,avg_danceability,avg_valence,avg_energy,avg_acoustiness,avg_instrumentalness,avg_liveness,avg_speechiness
Over 3 Billion,133.5,66.5,65.5,72.5,29,0,9,7.5
2 Billion to 3 Billion,111.59,61.52,47.59,57.03,36.83,0.07,16.69,7.66
1 Billion to 2 Billion,124.2,64.21,48.65,65.32,24.45,0.64,17.64,8.47
Below 100 Million,120.36,66.55,49.59,65.13,29,1.58,19.63,11.16
500 Million to 1 Billion,123.65,66.67,50.49,64.26,24.28,1.97,17.08,9.27
250 Million to 500 Million,123.42,67.08,51.83,63.24,27.35,1.98,18.4,9.54
100 Million to 250 Million,122.82,69.1,54.09,64.85,27.51,1.64,18.41,11.53
